"","Bareland","Cropland","Forest","Grassland","Shrubland","Urban","Water"
"Bareland",16,3,0,0,0,0,3
"Cropland",3,50,2,6,2,2,3
"Forest",0,10,150,38,36,7,0
"Grassland",1,8,11,20,11,2,0
"Shrubland",0,0,5,5,0,1,0
"Urban",2,0,2,2,0,34,0
"Water",2,0,0,0,0,2,83
"producersAccuracy",0.666666666666667,0.704225352112676,0.882352941176471,0.28169014084507,0,0.708333333333333,0.932584269662921
"usersAccuracy",0.727272727272727,0.735294117647059,0.622406639004149,0.377358490566038,0,0.85,0.954022988505747
"omissionError",0.333333333333333,0.295774647887324,0.117647058823529,0.71830985915493,1,0.291666666666667,0.0674157303370787
"commissionError",0.272727272727273,0.264705882352941,0.377593360995851,0.622641509433962,1,0.15,0.0459770114942529
"Kappa",0.584255842558426
"OverallAccuracy",0.676245210727969
